City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mana,5.6592,-53.7767,299.23,88,85,3.79,GF,1702337262
1,port-aux-francais,-49.35,70.2167,278.88,98,99,10.77,TF,1702337055
2,bartica,6.4,-58.6167,300.33,85,88,1.81,GY,1702337263
3,nuuk,64.1835,-51.7216,274.49,86,100,18.01,GL,1702336973
4,stanley,54.868,-1.6985,272.33,94,40,0.51,GB,1702337019
5,grytviken,-54.2811,-36.5092,274.94,79,28,4.91,GS,1702337068
6,dhidhdhoo,6.8833,73.1,301.01,71,93,0.31,MV,1702337265
7,crane,31.3974,-102.3501,289.3,18,11,2.86,US,1702337046
8,bethel,41.3712,-73.414,277.7,64,100,7.2,US,1702336895
9,belmonte,-15.8631,-38.8828,299.31,81,83,5.52,BR,1702337101
10,marquard,-28.6645,27.4305,284.47,86,47,2.01,ZA,1702337267
11,georgetown,5.4112,100.3354,299.23,94,20,1.03,MY,1702337025
12,ushuaia,-54.8,-68.3,284.96,47,20,2.57,AR,1702337069
13,anadyr,64.75,177.4833,247.59,75,20,5.0,RU,1702337073
14,puerto ayora,-0.7393,-90.3518,298.19,79,63,3.56,EC,1702337079
15,tiksi,71.6872,128.8694,251.08,99,100,3.67,RU,1702337056
16,egilsstadir,65.2653,-14.3948,271.1,74,100,2.06,IS,1702337134
17,waitangi,-43.9535,-176.5597,288.05,90,100,4.02,NZ,1702337059
18,aasiaat,68.7098,-52.8699,272.15,77,100,5.26,GL,1702337271
19,zeya,53.75,127.2667,240.09,94,5,1.43,RU,1702337271
20,saipan,15.1355,145.701,302.54,74,40,5.66,MP,1702337086
21,puerto baquerizo moreno,-0.9,-89.6,298.7,83,75,5.14,EC,1702337077
22,olonkinbyen,70.9221,-8.7187,273.09,98,100,6.3,SJ,1702337060
23,bredasdorp,-34.5322,20.0403,290.44,85,52,5.76,ZA,1702337065
24,aur,8.1499,171.1687,300.99,75,80,8.92,MH,1702337273
25,isafjordur,66.0755,-23.124,268.57,81,91,1.39,IS,1702336818
26,quellon,-43.1167,-73.6167,284.24,88,100,2.81,CL,1702337067
27,vila velha,-20.3297,-40.2925,300.12,79,40,5.66,BR,1702337275
28,moranbah,-22.0016,148.0466,296.79,86,100,9.43,AU,1702337276
29,papatowai,-46.5619,169.4708,283.32,64,54,9.14,NZ,1702337065
30,avarua,-21.2078,-159.775,299.18,83,75,10.8,CK,1702337059
31,port mathurin,-19.6833,63.4167,299.04,76,90,2.39,MU,1702337068
32,thompson,55.7435,-97.8558,260.24,85,100,6.17,CA,1702337069
33,ilulissat,69.2167,-51.1,276.16,60,100,7.72,GL,1702337078
34,kununurra,-15.7667,128.7333,305.14,58,95,2.57,AU,1702337079
35,paka,4.6374,103.4368,300.11,89,40,1.54,MY,1702337279
36,adamstown,-25.066,-130.1015,294.85,60,1,1.41,PN,1702337055
37,utrik,11.2278,169.8474,300.3,71,21,9.14,MH,1702337076
38,lorengau,-2.0226,147.2712,302.31,79,96,5.18,PG,1702337086
39,biltine,14.5333,20.9167,292.01,25,40,4.83,TD,1702337281
40,yanam,16.7333,82.2167,293.9,89,18,1.44,IN,1702337281
41,kone,-21.0595,164.8658,302.58,44,82,1.52,NC,1702337282
42,vigan,17.5747,120.3869,297.81,82,41,1.86,PH,1702337283
43,pisco,-13.7,-76.2167,294.18,78,0,9.77,PE,1702337062
44,edinburgh of the seven seas,-37.0676,-12.3116,286.79,91,100,9.47,SH,1702337066
45,yerofey pavlovich,53.9667,121.9667,239.89,96,11,1.39,RU,1702337096
46,longyearbyen,78.2186,15.6401,267.06,68,75,4.63,SJ,1702336955
47,prieska,-29.6641,22.7474,292.78,45,0,1.62,ZA,1702337069
48,susuman,62.7833,148.1667,251.47,96,100,2.24,RU,1702337073
49,margaret river,-33.95,115.0667,291.9,61,0,4.32,AU,1702336839
50,syktyvkar,61.6764,50.8099,257.0,77,75,8.05,RU,1702337287
51,port elizabeth,-33.918,25.5701,290.55,92,20,6.17,ZA,1702337058
52,mawu,29.5923,107.3139,285.14,93,98,0.57,CN,1702337288
53,cabo san lucas,22.8909,-109.9124,300.71,60,0,2.06,MX,1702337076
54,hammerfest,70.6634,23.6821,271.4,93,75,4.12,NO,1702337014
55,namibe,-15.1961,12.1522,295.1,72,57,3.29,AO,1702337131
56,el charco,2.4769,-78.1105,299.19,90,67,1.99,CO,1702337290
57,okhotsk,59.3833,143.3,263.66,91,100,1.76,RU,1702337142
58,vernon,50.2581,-119.2691,277.38,88,60,0.45,CA,1702337291
59,shalqar,47.8333,59.6,249.78,54,0,8.29,KZ,1702337291
60,talcahuano,-36.7167,-73.1167,288.97,77,40,5.66,CL,1702337292
61,kodiak,57.79,-152.4072,272.88,59,0,6.69,US,1702336803
62,blackmans bay,-43.0167,147.3167,294.55,58,26,0.45,AU,1702337060
63,udachny,66.4167,112.4,248.3,97,100,3.83,RU,1702337092
64,twon-brass,4.3151,6.2418,300.96,75,18,4.61,NG,1702337140
65,kudahuvadhoo,2.6708,72.8944,301.22,74,33,2.91,MV,1702337294
66,west island,-12.1568,96.8225,299.14,78,40,2.57,CC,1702337063
67,tazacorte,28.629,-17.9293,293.69,50,0,3.58,ES,1702337295
68,banamba,13.55,-7.45,295.03,16,15,3.61,ML,1702337296
69,carnarvon,-24.8667,113.6333,299.32,31,0,2.88,AU,1702337296
70,rurrenabaque,-14.4413,-67.5278,298.14,89,99,1.08,BO,1702337297
71,forster,-32.1667,152.5167,299.98,63,9,2.85,AU,1702337298
72,itabirito,-20.2533,-43.8014,294.6,96,82,1.32,BR,1702337298
73,soio,-6.1349,12.3689,299.93,77,100,2.38,AO,1702337299
74,hawaiian paradise park,19.5933,-154.9731,299.28,88,100,2.24,US,1702337063
